country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1990,,638157571.0,56045613056.0,22.755,0.036,658.281,-39.515,-5.663,1625.73,64.578,4.137,2.551,1.167,0.608,1.033,0.473,0.246,295.753,0.464,582.724,0.914,0.418,421.374,15923.987,97545.961,8356.074,1313.871,674.894,118786.211,5157.774,17.636,4086.444,1.251,20.795,0.033,75.954,0.119,2.528,4.213,967.456,1.518,780.89,1.224,342.44,0.537,243.024,0.381,0.0795,1.1099999999999999,2607.795,4.61,2.893,5.823,3.399,3.441,1.971,6.78,1.91,16.07,0.853,18.691,1.917,0.304,8.035,1.983,18.724,2.629,0.4445,8.397,0.032,0.043,0.08,0.006,2688.74,1613.51,-75.557,-11.478
Africa,1991,,655040869.0,56045613056.0,24.384,0.037,687.829,29.548,4.489,1648.199,22.47,1.382,2.52,1.15,0.614,1.052,0.48,0.256,306.648,0.469,607.35,0.929,0.424,445.758,16611.816,99194.156,8662.723,1334.669,753.36,119745.398,5415.306,17.636,3976.666,1.251,20.799,0.032,78.466,0.12,2.55,4.207,959.187,1.466,808.93,1.235,346.17,0.528,257.532,0.394,0.0795,1.1099999999999999,2604.879,4.805,2.961,5.85,3.56,3.495,1.999,6.762,1.942,15.795,0.907,18.696,1.943,0.304,7.59,2.007,19.391,2.653,0.4445,8.411,0.032,0.044,0.082,0.006,2755.89,1670.16,-80.48,-11.701
Africa,1992,,671931834.0,56045613056.0,24.768,0.037,666.901,-20.928,-3.043,1856.519,208.32,12.639,2.767,1.274,0.681,0.994,0.458,0.245,288.434,0.43,620.511,0.925,0.426,470.526,17278.719,101050.68,8951.156,1358.02,827.632,120932.648,5671.383,17.636,3935.098,1.251,23.351,0.035,74.272,0.111,2.523,4.139,1187.251,1.77,820.37,1.221,349.34,0.52,256.077,0.382,0.0795,1.1099999999999999,2644.118,4.686,2.955,6.68,3.43,3.542,2.024,6.76,1.969,15.624,0.951,18.729,1.97,0.304,9.65,1.876,22.731,2.78,0.4445,8.431,0.033,0.045,0.084,0.006,2781.2,1695.48,-46.39,-6.956
Africa,1993,,689140286.0,56045613056.0,24.414,0.035,706.661,39.76,5.962,1967.385,110.866,5.972,2.859,1.318,0.725,1.027,0.473,0.26,318.584,0.463,643.518,0.935,0.431,494.94,17985.381,103018.062,9269.74,1379.81,909.353,122193.383,5931.535,17.636,3847.371,1.251,21.79,0.032,81.721,0.119,2.509,4.085,1260.735,1.832,837.23,1.215,351.45,0.51,260.152,0.378,0.0795,1.1099999999999999,2651.378,4.429,3.1,7.045,3.743,3.578,2.052,6.765,2.002,15.459,0.998,18.775,1.996,0.304,9.308,2.009,24.58,2.822,0.4445,8.453,0.034,0.046,0.085,0.006,2814.93,1729.19,-63.143,-8.935
Africa,1994,,706488557.0,56045613056.0,24.884,0.035,790.281,83.62,11.833,2181.449,214.063,10.881,3.092,1.403,0.783,1.12,0.508,0.284,330.423,0.468,716.321,1.015,0.461,519.824,18775.66,105199.508,9600.164,1472.623,994.942,123584.562,6188.109,17.636,3879.322,1.251,92.812,0.132,85.589,0.121,2.581,4.118,1391.178,1.972,861.61,1.22,413.55,0.585,256.573,0.364,0.0795,1.1099999999999999,2740.697,4.229,3.431,7.572,3.86,3.604,2.087,6.78,2.036,15.936,1.045,18.822,2.02,0.304,29.481,2.087,24.084,2.773,0.4445,8.49,0.035,0.046,0.087,0.006,2909.22,1823.43,-73.96,-9.359
Africa,1995,,724331972.0,56045613056.0,26.9,0.037,844.557,54.275,6.868,2246.457,65.008,2.98,3.106,1.38,0.773,1.168,0.519,0.29,346.584,0.479,751.733,1.039,0.462,546.723,19620.217,107445.969,9946.748,1576.906,1096.498,124986.477,6453.343,17.636,3936.807,1.251,104.283,0.144,101.556,0.14,2.601,4.101,1401.911,1.938,876.75,1.21,418.23,0.577,265.234,0.367,0.0795,1.1099999999999999,2851.555,4.323,3.59,7.703,3.937,3.634,2.126,6.797,2.071,16.483,1.103,18.873,2.044,0.304,31.942,2.412,24.859,2.84,0.4445,8.54,0.036,0.047,0.089,0.006,2970.44,1884.01,-92.824,-10.991
Africa,1996,,742765067.0,56045613056.0,27.419,0.037,872.321,27.764,3.287,2173.015,-73.442,-3.269,2.93,1.243,0.729,1.176,0.499,0.292,352.718,0.476,751.774,1.014,0.43,574.143,20492.537,109618.984,10299.466,1696.568,1204.517,126287.172,6717.844,17.636,3936.949,1.251,119.662,0.161,108.019,0.146,2.627,4.039,1300.705,1.754,896.96,1.208,388.31,0.523,264.502,0.357,0.0795,1.1099999999999999,2924.229,4.317,3.597,7.184,3.909,3.662,2.163,6.805,2.105,17.107,1.161,18.898,2.065,0.304,34.134,2.457,21.688,2.749,0.4445,8.59,0.037,0.048,0.091,0.006,2999.85,1951.02,-120.547,-13.819
Africa,1997,,761224818.0,56045613056.0,27.539,0.036,893.989,21.668,2.484,2224.495,51.48,2.369,2.927,1.209,0.731,1.176,0.486,0.294,360.178,0.474,772.032,1.016,0.42,601.682,21386.527,111843.477,10659.645,1804.45,1299.723,127617.695,7021.028,17.636,3922.852,1.251,107.882,0.142,95.206,0.125,2.603,4.002,1330.517,1.75,915.32,1.202,394.73,0.519,303.184,0.399,0.0795,1.1099999999999999,2986.172,4.167,3.664,6.978,4.012,3.682,2.201,6.808,2.139,17.569,1.201,18.886,2.095,0.304,30.566,2.157,17.785,3.104,0.4445,8.626,0.038,0.049,0.093,0.007,3046.44,1981.61,-121.957,-13.642
Africa,1998,,779908311.0,56045613056.0,28.57,0.037,912.442,18.453,2.064,2344.06,119.565,5.375,3.01,1.209,0.769,1.172,0.471,0.299,354.754,0.456,819.202,1.052,0.423,630.252,22298.971,114187.531,11014.397,1905.723,1412.435,129049.32,7336.162,17.636,3888.152,1.251,101.273,0.13,112.712,0.145,2.598,4.006,1431.628,1.838,953.58,1.223,421.74,0.541,315.133,0.405,0.0795,1.1099999999999999,3032.402,4.34,3.75,7.686,4.061,3.708,2.239,6.824,2.172,17.966,1.253,18.925,2.126,0.304,30.08,2.513,23.221,3.185,0.4445,8.674,0.039,0.05,0.095,0.007,3123.98,2026.33,-93.24,-10.219
Africa,1999,,799099611.0,56045613056.0,29.73,0.037,899.677,-12.765,-1.399,2174.586,-169.474,-7.23,2.725,1.07,0.687,1.128,0.442,0.284,365.712,0.458,785.349,0.984,0.386,659.982,23198.646,116362.125,11380.11,2002.199,1526.812,130324.242,7629.544,17.636,3911.04,1.251,96.476,0.121,114.377,0.143,2.532,3.892,1274.92,1.598,941.77,1.179,417.52,0.522,293.382,0.368,0.0795,1.1099999999999999,3125.31,4.306,3.623,7.052,4.126,3.731,2.273,6.828,2.206,18.306,1.302,18.945,2.148,0.304,29.224,2.489,21.234,2.895,0.4445,8.706,0.039,0.051,0.097,0.007,3110.26,2023.44,-114.329,-12.708
