"year","avg_coal","stddev_coal","min_coal","max_coal","avg_flaring","stddev_flaring","min_flaring","max_flaring","avg_oil","stddev_oil","min_oil","max_oil","avg_cement","oil_cement","min_cement","max_cement","avg_other_industry","oil_other_industry","min_other_industry","max_other_industry"
1750,"9.306",NULL,"9.306","9.306","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1751,"9.407",NULL,"9.407","9.407","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1752,"9.505",NULL,"9.505","9.505","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1753,"9.61",NULL,"9.61","9.61","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1754,"9.734",NULL,"9.734","9.734","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1755,"9.793",NULL,"9.793","9.793","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1756,"9.91",NULL,"9.91","9.91","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1757,"10.094",NULL,"10.094","10.094","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1758,"10.216",NULL,"10.216","10.216","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1759,"10.339",NULL,"10.339","10.339","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1760,"10.514",NULL,"10.514","10.514","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1761,"10.748",NULL,"10.748","10.748","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1762,"10.952",NULL,"10.952","10.952","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1763,"11.192",NULL,"11.192","11.192","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1764,"11.397",NULL,"11.397","11.397","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1765,"11.643",NULL,"11.643","11.643","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1766,"11.876",NULL,"11.876","11.876","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1767,"12.153",NULL,"12.153","12.153","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1768,"12.467",NULL,"12.467","12.467","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1769,"12.78",NULL,"12.78","12.78","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1770,"13.097",NULL,"13.097","13.097","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1771,"13.369",NULL,"13.369","13.369","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1772,"13.624",NULL,"13.624","13.624","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1773,"13.808",NULL,"13.808","13.808","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1774,"14.012",NULL,"14.012","14.012","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1775,"14.339",NULL,"14.339","14.339","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1776,"14.654",NULL,"14.654","14.654","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1777,"14.96",NULL,"14.96","14.96","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1778,"15.243",NULL,"15.243","15.243","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1779,"15.535",NULL,"15.535","15.535","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1780,"15.879",NULL,"15.879","15.879","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1781,"16.234",NULL,"16.234","16.234","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1782,"16.581",NULL,"16.581","16.581","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1783,"17.063",NULL,"17.063","17.063","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1784,"17.471",NULL,"17.471","17.471","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1785,"8.9825","12.697516469766832","0.004","17.961","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1786,"9.224","13.039049045079935","0.004","18.444","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1787,"9.4295","13.329669932147606","0.004","18.855","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1788,"9.643500000000001","13.63231163449545","0.004","19.283","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1789,"9.932","14.040312247240086","0.004","19.86","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1790,"10.199","14.417907268393702","0.004","20.394","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1791,"10.466000000000001","14.79550228954732","0.004","20.928","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1792,"7.31","12.253867267112046","0.004","21.457","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1793,"7.432666666666667","12.45687381863256","0.004","21.814","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1794,"7.506666666666667","12.616724231484705","0.004","22.073","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1795,"7.438666666666666","12.495534495704188","0.004","21.865","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1796,"7.374","12.308218839458453","0.004","21.583","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1797,"7.363666666666666","12.277502283988111","0.004","21.537","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1798,"7.702000000000001","12.842000584021168","0.004","22.527","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1799,"9.162","15.325753456192617","0.004","26.855","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1800,"6.5598","13.855526143023223","0.004","31.34","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1801,"6.3972","13.607866372065827","0.004","30.737","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1802,"5.758571428571429","11.084234988744791","0.004","30.377","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1803,"5.9078","12.486307208298216","0.004","28.241","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1804,"5.294833333333333","11.046666907563866","0.004","27.79","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1805,"5.208833333333334","11.80620615467419","0","29.295","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1806,"5.450833333333333","12.476841962879334","0.001","30.909","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1807,"5.17157142857143","12.124661890229392","0.001","32.584","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1808,"5.9165","13.61621870784984","0.001","33.702","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1809,"6.055833333333333","13.950281293460236","0.001","34.523","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1810,"5.6417142857142855","13.143132005148619","0.001","35.402","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1811,"5.73957142857143","13.430085788471876","0.002","36.155","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1812,"5.8307142857142855","13.651502880809932","0.002","36.742","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1813,"5.886571428571429","13.896099738861293","0.003","37.36","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1814,"6.032428571428572","14.19422808582351","0.003","38.182","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1815,"6.226857142857142","14.48169314949707","0.003","39.019","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1816,"6.499428571428571","14.484904335861097","0.002","39.265","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1817,"7.039428571428571","15.368292454023024","0.002","41.766","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1818,"7.341714285714285","16.1143273591576","0.002","43.769","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1819,"6.36625","14.978710689794745","0.004","43.316","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1820,"6.3415","14.693957310015959","0.004","42.567","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1821,"6.507375000000001","15.004384387214484","0.003","43.493","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1822,"6.75275","15.546261064044582","0.004","45.074","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1823,"7.044625000000001","16.081809190488666","0.004","46.676","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1824,"7.198","16.59738078303751","0.004","48.137","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1825,"7.591375","17.042994370855137","0.003","49.564","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1826,"7.67275","17.225099500023628","0.004","50.102","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1827,"8.217375","17.84201818290985","0.004","52.048","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1828,"8.33525","18.039261631626882","0.004","52.63","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
1829,"7.367444444444445","17.324039750525216","0.004","53.243","0","0","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL
