"year","percent_co2_luc","percent_methane_luc","percent_no2_luc"
1990,"0.9185399784630283","0.17919575958719125","0.06315998311989152"
1991,"0.9152281911347488","0.18050027342379832","0.06279440911526067"
1992,"0.9027523612962761","0.18101390164357672","0.06308719694848738"
1993,"0.8957958325606319","0.18202857419836638","0.0627278608334982"
1994,"0.8947411687046506","0.1768004634970154","0.06283651817327036"
1995,"0.888616009397323","0.17735567645977665","0.06360900831251556"
1996,"0.899527575317121","0.17331586788825165","0.06214067375181848"
1997,"0.9036521205249249","0.17151844514140432","0.05925279583223562"
1998,"0.8917625382521995","0.17343985465391717","0.061449106933637546"
1999,"0.8946771050604596","0.17210987185610982","0.06102048919053904"
2000,"0.892951733973109","0.17321349242994852","0.06103543963717229"
2001,"0.8926235192082372","0.1737512703179389","0.0623514780987198"
2002,"0.8932135137671956","0.1720273681928854","0.061903151767078717"
2003,"0.8986686908153142","0.16334764766934504","0.05909942300442771"
2004,"0.8949101863770937","0.16735957848432959","0.0603513346699484"
2005,"0.8947179158556849","0.16775291421985872","0.060267013401760765"
2006,"0.898719607203034","0.16692826642006636","0.05919760258314615"
2007,"0.8948873333558696","0.1656249676971813","0.06037337448724077"
2008,"0.8967370230384749","0.16394827962886874","0.0586469395937196"
2009,"0.8957434117226779","0.164689107026167","0.058614711921580694"
2010,"0.8994427311799631","0.16071023851191452","0.05808364635875066"
2011,"0.8983688287315587","0.15933206664099864","0.05770525321460738"
2012,"0.902317144997174","0.15844627380982645","0.057271946763490934"
2013,"0.898259295166751","0.15940347121512666","0.057338828393216405"
2014,"0.8981468243564196","0.15966522969226465","0.05727849982750501"
2015,"0.9039561286467053","0.1592815381570667","0.05744306528278162"
2016,"0.8988589571703228","0.16049667726286387","0.05915581472940104"
2017,"0.9000254433270541","0.15968710097618302","0.05943606031715704"
2018,"0.8983956526622371","0.16126147281610562","0.05863449202259307"
2019,"0.8975479432890662","0.1610914364535758","0.05832895070199631"
2020,"0.8894383728123438","0.1639515018267662","0.06145244160494803"
2021,NULL,NULL,NULL
2022,NULL,NULL,NULL
